song_id,image_url,published_date,singer,title
34819473,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg?e89c53bde5d39b21b09e8007db5b9cc0/melon/resize/282/quality/80/optimize,2022.03.30,윤하 (YOUNHA),사건의 지평선
35643794,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg?cb464fb584ef9bcbe1a7f8f2201d8273/melon/resize/282/quality/80/optimize,2022.09.18,테이,Monologue
31343875,https://cdnimg.melon.co.kr/cm/album/images/102/10/149/10210149_500.jpg?070403fcabbb604154547191e4453568/melon/resize/282/quality/80/optimize,2018.10.11,백아,첫사랑
34787226,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg?389545aadd50ead38a260c8438fc5924/melon/resize/282/quality/80/optimize,2022.03.25,주호,내가 아니라도
3391365,https://cdnimg.melon.co.kr/cm/album/images/012/67/952/1267952_500.jpg/melon/resize/282/quality/80/optimize,2011.05.03,Various Artists,응급실 (쾌걸춘향 OST) (MR)
35730562,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg?3afd315fe8957d40a511b9c42aeaf516/melon/resize/282/quality/80/optimize,2022.10.17,(여자)아이들,Nxde
4601266,https://cdnimg.melon.co.kr/cm/album/images/022/51/179/2251179_500.jpg/melon/resize/282/quality/80/optimize,2014.04.11,Musicen,너의 모든 순간 (별에서온그대OST MR 원키)
30486509,https://cdnimg.melon.co.kr/cm/album/images/100/73/513/10073513_500.jpg?a30879f3ce208bbbf0c3feca712f70b8/melon/resize/282/quality/80/optimize,2017.06.22,윤종신,좋니
35252996,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg?690c69f1d7581bed46767533175728ff/melon/resize/282/quality/80/optimize,2022.06.07,#안녕,해요 (2022)
8033528,https://cdnimg.melon.co.kr/cm/album/images/026/64/299/2664299_500.jpg/melon/resize/282/quality/80/optimize,2016.01.28,엠씨더맥스 (M.C the MAX),어디에도
35643794,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg?cb464fb584ef9bcbe1a7f8f2201d8273/melon/resize/282/quality/80/optimize,2022.09.18,테이,Monologue
35454426,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg?1d674a44faffa0ebd34d86c182463171/melon/resize/282/quality/80/optimize,2022.08.01,NewJeans,Hype boy
30748958,https://cdnimg.melon.co.kr/cm/album/images/101/14/163/10114163_500.jpg?c26d55bee3c78ca52a47457cde11a748/melon/resize/282/quality/80/optimize,2017.11.24,Various Artists,첫눈처럼 너에게 가겠다 (도깨비 OST Part.9)
34431086,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg?c1818ddc493cb2bbb4d268431e6de7b5/melon/resize/282/quality/80/optimize,2021.12.19,김민석 (멜로망스),취중고백
4786735,https://cdnimg.melon.co.kr/cm/album/images/022/71/467/2271467_500.jpg/melon/resize/282/quality/80/optimize,2014.08.04,마크툽 (MAKTUB),Marry Me
35729104,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg?90c93d5c7f38394169a4c5c70683eb0b/melon/resize/282/quality/80/optimize,2022.10.17,LE SSERAFIM (르세라핌),ANTIFRAGILE
530124,https://cdnimg.melon.co.kr/cm/album/images/000/34/984/34984_500.jpg/melon/resize/282/quality/80/optimize,2004.06.25,이승기,삭제
31873020,https://cdnimg.melon.co.kr/cm/album/images/102/98/014/10298014_500.jpg?268185ef15baf17ab2cb373ab8e07ec7/melon/resize/282/quality/80/optimize,2019.06.20,황인욱,포장마차
1592995,https://cdnimg.melon.co.kr/cm/album/images/003/47/264/347264_500.jpg/melon/resize/282/quality/80/optimize,2007.03.15,윤하 (YOUNHA),비밀번호 486
35546497,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg?d34a229786bda1750cf7718abdc6b869/melon/resize/282/quality/80/optimize,2022.08.22,IVE (아이브),After LIKE
460396,https://cdnimg.melon.co.kr/cm/album/images/000/31/482/31482_500.jpg/melon/resize/282/quality/80/optimize,2003.06.05,임창정,소주 한 잔
34061322,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg?7eeae0e5c1f24c5ae9fa04f626e74c34/melon/resize/282/quality/80/optimize,2021.10.11,임영웅,사랑은 늘 도망가
8119658,https://cdnimg.melon.co.kr/cm/album/images/026/76/167/2676167_500.jpg/melon/resize/282/quality/80/optimize,2016.03.30,에이치코드 (H:CODE),꿈속에 너 (Feat. 전상근)
1753139,https://cdnimg.melon.co.kr/cm/album/images/003/59/813/359813_500.jpg/melon/resize/282/quality/80/optimize,2007.10.19,얀,그래서 그대는
32224166,https://cdnimg.melon.co.kr/cm2/album/images/103/59/126/10359126_500.jpg?893bf3ed5678b90b4896e9f0c8f2535a/melon/resize/282/quality/80/optimize,2019.11.30,#안녕,너의 번호를 누르고 (Prod. 영화처럼)
4276080,https://cdnimg.melon.co.kr/cm/album/images/022/10/557/2210557_500.jpg/melon/resize/282/quality/80/optimize,2013.10.14,자우림,"스물다섯, 스물하나"
2544949,https://cdnimg.melon.co.kr/cm/album/images/007/72/051/772051_500.jpg/melon/resize/282/quality/80/optimize,2010.01.18,포맨 (4MEN),못해 (Feat. 美)
3549031,https://cdnimg.melon.co.kr/cm/album/images/020/12/587/2012587_500.jpg/melon/resize/282/quality/80/optimize,2011.09.16,허각,Hello
34535898,https://cdnimg.melon.co.kr/cm2/album/images/108/42/005/10842005_20220114144240_500.jpg?607b403419ab887897b08b9ab3ebab9c/melon/resize/282/quality/80/optimize,2022.01.15,탑현,호랑수월가
33248758,https://cdnimg.melon.co.kr/cm2/album/images/105/56/610/10556610_20210129172644_500.jpg?475f9e1a56b3448bfb249ccaa1c05a6a/melon/resize/282/quality/80/optimize,2021.01.31,정동하,추억은 만남보다 이별에 남아
35388184,https://cdnimg.melon.co.kr/cm2/album/images/110/00/863/11000863_20220711113237_500.jpg?eb82bcf4799ca14b05672f249108cf10/melon/resize/282/quality/80/optimize,2022.07.11,이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
8060956,https://cdnimg.melon.co.kr/cm/album/images/026/68/301/2668301_500.jpg/melon/resize/282/quality/80/optimize,2016.02.21,김필,다시 사랑한다면 (니글니글 버터플라이)
3894276,https://cdnimg.melon.co.kr/cm/album/images/021/48/596/2148596_500.jpg/melon/resize/282/quality/80/optimize,2012.09.04,스탠딩 에그,오래된 노래
732519,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20220615122456_500.jpg?100947986ac526fbe2f999a50873b6ae/melon/resize/282/quality/80/optimize,2005.03.03,버즈,가시
31592177,https://cdnimg.melon.co.kr/cm/album/images/102/47/921/10247921_500.jpg?d449334922bd225ae61857173bcc73c8/melon/resize/282/quality/80/optimize,2019.01.31,Various Artists,너였다면 (또 오해영 OST)
30144225,https://cdnimg.melon.co.kr/cm/album/images/100/22/274/10022274_500.jpg?c551da1cc5258d7a72fd768624a7cc70/melon/resize/282/quality/80/optimize,2016.12.11,조유진 (체리필터),"나에게로의 초대 (이상한 나라의 앨리스, 하트다 하트여왕)"
1140592,https://cdnimg.melon.co.kr/cm/album/images/003/16/276/316276_500.jpg/melon/resize/282/quality/80/optimize,2000.03.24,소찬휘,Tears
420534,https://cdnimg.melon.co.kr/cm/album/images/000/27/516/27516_500.jpg/melon/resize/282/quality/80/optimize,2003.02.06,빅마마,체념
5466962,https://cdnimg.melon.co.kr/cm/album/images/022/90/452/2290452_500.jpg/melon/resize/282/quality/80/optimize,2014.11.19,10CM,스토커
35730698,https://cdnimg.melon.co.kr/cm2/album/images/110/78/887/11078887_20221018101221_500.jpg?17fa91172a1a56cb2e8b318f16303ff7/melon/resize/282/quality/80/optimize,2022.10.18,임한별,떠나보낼 준비해 둘걸 그랬어
33976677,https://cdnimg.melon.co.kr/cm2/album/images/107/16/174/10716174_20210916153439_500.jpg?557e3cbb17a662e05e4d72e21555984d/melon/resize/282/quality/80/optimize,2021.09.19,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment)
3620493,https://cdnimg.melon.co.kr/cm/album/images/020/38/488/2038488_500.jpg/melon/resize/282/quality/80/optimize,2011.11.23,정준일,안아줘
35484543,https://cdnimg.melon.co.kr/cm2/album/images/110/17/954/11017954_20220729152931_500.jpg?63979c4d2fc66d91685ff669a4416138/melon/resize/282/quality/80/optimize,2022.07.31,한동근,새벽에 걸려온 너의 전화는
1137108,https://cdnimg.melon.co.kr/cm/album/images/003/15/981/315981_500.jpg/melon/resize/282/quality/80/optimize,2006.03.29,야다 (Yada),이미 슬픈 사랑
9614761,https://cdnimg.melon.co.kr/cm/album/images/027/06/226/2706226_500.jpg/melon/resize/282/quality/80/optimize,2016.08.24,한동근,그대라는 사치
35361345,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg?efdbc59fa40108e58ae72d3747be01ba/melon/resize/282/quality/80/optimize,2022.07.03,10CM,그라데이션
3758104,https://cdnimg.melon.co.kr/cm/album/images/021/05/027/2105027_500.jpg/melon/resize/282/quality/80/optimize,2012.04.03,허각,나를 사랑했던 사람아
32917886,https://cdnimg.melon.co.kr/cm2/album/images/104/88/695/10488695_20200910110942_500.jpg?6481784633b507adbb1687161cf5e2e2/melon/resize/282/quality/80/optimize,2020.09.11,Jadem,아로하 (드라마 '슬기로운 의사생활' OST Cover Ver.)
430051,https://cdnimg.melon.co.kr/cm/album/images/000/16/600/16600_500.jpg/melon/resize/282/quality/80/optimize,2002.08.13,체리 필터,낭만고양이
31251403,https://cdnimg.melon.co.kr/cm/album/images/101/95/087/10195087_500.jpg?d7ab774ef836825527a34d7522f93de2/melon/resize/282/quality/80/optimize,2018.08.20,알베스 (Alves),"모든 날, 모든 순간 (Every day, Every Moment) (키스 먼저 할까요 OST Part.3)"
1568562,https://cdnimg.melon.co.kr/cm/album/images/003/44/501/344501_500.jpg/melon/resize/282/quality/80/optimize,2007.02.09,테이,같은 베개...
1683050,https://cdnimg.melon.co.kr/cm/album/images/003/55/128/355128_500.jpg/melon/resize/282/quality/80/optimize,2007.08.03,소녀시대 (GIRLS' GENERATION),다시 만난 세계 (Into The New World)
31304766,https://cdnimg.melon.co.kr/cm/album/images/102/03/965/10203965_500.jpg?34183be7a5ff88a77ecebf8b834a6026/melon/resize/282/quality/80/optimize,2018.09.13,임한별,이별하러 가는 길
34847378,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg?f1db0eeac1f61dd8a9c7696bdb50aea8/melon/resize/282/quality/80/optimize,2022.04.05,IVE (아이브),LOVE DIVE
1509829,https://cdnimg.melon.co.kr/cm/album/images/003/33/687/333687_500.jpg/melon/resize/282/quality/80/optimize,2006.12.04,윤하 (YOUNHA),기다리다
34270805,https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg?7388a25c12a4273eb8820ddc7d7a4648/melon/resize/282/quality/80/optimize,2021.11.16,윤하 (YOUNHA),오르트구름
30699142,https://cdnimg.melon.co.kr/cm/album/images/101/06/853/10106853_500.jpg?dc3b30daa90cbfee20ea4c821a7b2546/melon/resize/282/quality/80/optimize,2017.10.31,닐로(Nilo),지나오다
30652020,https://cdnimg.melon.co.kr/cm/album/images/100/99/344/10099344_500.jpg?0b6f21ab2443aeae23e8772fe1588059/melon/resize/282/quality/80/optimize,2017.09.27,Various Artists,우리의 꿈 (원피스 OP.)
34870045,https://cdnimg.melon.co.kr/cm2/album/images/109/15/066/10915066_20220408161325_500.jpg?289b279a121ef096642db4fd6b7ab515/melon/resize/282/quality/80/optimize,2022.04.11,Musicsum (뮤직섬),사랑인가 봐 (사내 맞선 OST) (MR)
5458267,https://cdnimg.melon.co.kr/cm/album/images/022/90/324/2290324_500.jpg/melon/resize/282/quality/80/optimize,2014.11.13,규현 (KYUHYUN),광화문에서 (At Gwanghwamun)
1982797,https://cdnimg.melon.co.kr/cm/album/images/001/01/435/101435_500.jpg/melon/resize/282/quality/80/optimize,2008.01.20,Various Artists,(MR 반주곡) 희재(국화꽃향기ost) (성시경)
31020251,https://cdnimg.melon.co.kr/cm/album/images/101/58/325/10158325_500.jpg?e0e225f8d73ac0f0ac33cc76ee54a91e/melon/resize/282/quality/80/optimize,2018.04.16,FermaTa,My Way (돈꽃 OST Part.1)
31388145,https://cdnimg.melon.co.kr/cm/album/images/102/17/134/10217134_500.jpg?c82749b644b952bbb037a26e9d5f0273/melon/resize/282/quality/80/optimize,2018.10.29,폴킴,너를 만나
32633099,https://cdnimg.melon.co.kr/cm2/album/images/104/37/153/10437153_20200529094901_500.jpg?9893797c265932e2d91fea901c4a17fc/melon/resize/282/quality/80/optimize,2020.05.28,달콤한꿈,All For You (응답하라 1997 OST 피아노 커버 버전)
30669593,https://cdnimg.melon.co.kr/cm/album/images/101/02/177/10102177_500.jpg?9988817594f96c51c08a1d620af4ea7e/melon/resize/282/quality/80/optimize,2017.10.14,먼데이 키즈 (Monday Kiz),가을 안부
31666417,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg?02df39ed806cd5e224ae1be4ab9417dd/melon/resize/282/quality/80/optimize,2019.03.13,잔나비,주저하는 연인들을 위해
2650367,https://cdnimg.melon.co.kr/cm/album/images/008/62/952/862952_500.jpg/melon/resize/282/quality/80/optimize,2010.04.20,노라조,형 (兄)
3793378,https://cdnimg.melon.co.kr/cm/album/images/021/22/186/2122186_500.jpg/melon/resize/282/quality/80/optimize,1995.05.01,뱅크,가질수 없는 너
33666260,https://cdnimg.melon.co.kr/cm2/album/images/106/48/180/10648180_20210709104742_500.jpg?62e9c853d9b8f9df26c8659ca53f9649/melon/resize/282/quality/80/optimize,2021.07.09,Philipp Jundt,"눈의 꽃 (미안하다, 사랑한다 OST)"
30117119,https://cdnimg.melon.co.kr/cm/album/images/100/18/412/10018412_500.jpg?e9cf41823c864ad17f43d0066b21f05a/melon/resize/282/quality/80/optimize,2016.11.28,안예은,홍연
315876,https://cdnimg.melon.co.kr/cm/album/images/000/22/287/22287_500.jpg/melon/resize/282/quality/80/optimize,2002.11.01,엠씨더맥스 (M.C the MAX),One Love
32498296,https://cdnimg.melon.co.kr/cm2/album/images/104/10/461/10410461_20200331145909_500.jpg?0c676398a6e156ef08a91a98a8234823/melon/resize/282/quality/80/optimize,2020.04.01,조광일,곡예사
3973781,https://cdnimg.melon.co.kr/cm/album/images/021/68/409/2168409_500.jpg/melon/resize/282/quality/80/optimize,2012.12.06,성시경,크리스마스니까
2093360,https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/282/quality/80/optimize,2009.02.27,다비치,8282
31927275,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg?84c9c2f6f52301ab6327b78cf41efe82/melon/resize/282/quality/80/optimize,2019.07.15,DAY6 (데이식스),한 페이지가 될 수 있게
8083210,https://cdnimg.melon.co.kr/cm/album/images/026/71/475/2671475_500.jpg/melon/resize/282/quality/80/optimize,2016.03.08,스트레이 (The Stray),"너, 너"
837567,https://cdnimg.melon.co.kr/cm/album/images/003/01/886/301886_500.jpg/melon/resize/282/quality/80/optimize,2005.04.29,윤도현,사랑했나봐
5398990,https://cdnimg.melon.co.kr/cm/album/images/022/84/064/2284064_500.jpg/melon/resize/282/quality/80/optimize,2014.09.30,한동근,이 소설의 끝을 다시 써보려 해
38667,https://cdnimg.melon.co.kr/cm/album/images/000/03/022/3022_500.jpg/melon/resize/282/quality/80/optimize,1997.06.06,김경호,금지된 사랑
30884950,https://cdnimg.melon.co.kr/cm/album/images/101/37/574/10137574_500.jpg?c58e356ef2aa95f2b6ccea17c4557268/melon/resize/282/quality/80/optimize,2018.02.12,로이킴,그때 헤어지면 돼
4543502,https://cdnimg.melon.co.kr/cm/album/images/022/44/822/2244822_500.jpg/melon/resize/282/quality/80/optimize,2014.03.28,박효신,야생화
1459456,https://cdnimg.melon.co.kr/cm/album/images/003/28/069/328069_500.jpg/melon/resize/282/quality/80/optimize,2006.10.09,이루,흰눈
34943312,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg?648f2d70a3d877844192313f323bf7bb/melon/resize/282/quality/80/optimize,2022.04.24,경서,나의 X에게
31120510,https://cdnimg.melon.co.kr/cm/album/images/101/74/591/10174591_500.jpg?f9c8bad13d5a5674c3de2bf6e3ed6f2f/melon/resize/282/quality/80/optimize,2018.06.08,전우성 (노을),축가
32059630,https://cdnimg.melon.co.kr/cm2/album/images/103/31/499/10331499_500.jpg?a147e1e367c8cc0d6c02ca8ccd97a47a/melon/resize/282/quality/80/optimize,2019.09.24,임재현,조금 취했어 (Prod. 2soo)
30755375,https://cdnimg.melon.co.kr/cm/album/images/101/15/186/10115186_500.jpg?2e6a3ca517e4d81f324543910d492151/melon/resize/282/quality/80/optimize,2017.11.28,장덕철,그날처럼
30514366,https://cdnimg.melon.co.kr/cm/album/images/100/78/176/10078176_500.jpg?fc3fe8c6bd74c16bce7ffd971a930ffa/melon/resize/282/quality/80/optimize,2017.07.10,멜로망스,선물
33167063,https://cdnimg.melon.co.kr/cm2/album/images/105/40/298/10540298_20201229150823_500.jpg?14b23cb69fbfc296f974618525ec9957/melon/resize/282/quality/80/optimize,2020.12.29,송이한,밝게 빛나는 별이 되어 비춰줄게
732516,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20220615122456_500.jpg?100947986ac526fbe2f999a50873b6ae/melon/resize/282/quality/80/optimize,2005.03.03,버즈,나에게로 떠나는 여행
492084,https://cdnimg.melon.co.kr/cm/album/images/000/33/000/33000_500.jpg/melon/resize/282/quality/80/optimize,2003.10.24,박화요비,그런 일은
1264830,https://cdnimg.melon.co.kr/cm/album/images/003/20/278/320278_500.jpg/melon/resize/282/quality/80/optimize,2006.06.27,하동균,그녀를 사랑해줘요
30232719,https://cdnimg.melon.co.kr/cm/album/images/100/36/099/10036099_500.jpg?7374810860bfc17f2a70dc7a39124ead/melon/resize/282/quality/80/optimize,2017.02.06,DAY6 (데이식스),예뻤어
1177475,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/282/quality/80/optimize,2006.04.24,버즈,남자를 몰라
2314377,https://cdnimg.melon.co.kr/cm/album/images/006/84/955/684955_500.jpg/melon/resize/282/quality/80/optimize,2009.10.07,다이나믹 듀오,죽일 놈 (Guilty)
2425149,https://cdnimg.melon.co.kr/cm/album/images/007/41/758/741758_500.jpg/melon/resize/282/quality/80/optimize,2009.12.11,지아,술 한잔 해요
3910821,https://cdnimg.melon.co.kr/cm/album/images/021/50/856/2150856_500.jpg/melon/resize/282/quality/80/optimize,2012.09.20,나얼,바람기억
32187544,https://cdnimg.melon.co.kr/cm2/album/images/103/53/881/10353881_500.jpg?6ff835ae57e730e358ac3bd6f3a2e9af/melon/resize/282/quality/80/optimize,2019.11.20,신예영,우리 왜 헤어져야 해
1888072,https://cdnimg.melon.co.kr/cm/album/images/003/85/368/385368_500.jpg/melon/resize/282/quality/80/optimize,2008.06.13,아이시대,뽀롱뽀롱뽀로로 엔딩곡 (만화 주제가)
30809895,https://cdnimg.melon.co.kr/cm/album/images/101/23/639/10123639_500.jpg?650a61bf2f3bbc4b6916ccc87880debb/melon/resize/282/quality/80/optimize,2017.12.29,양다일,미안해
33480898,https://cdnimg.melon.co.kr/cm2/album/images/106/07/796/10607796_20210513201807_500.jpg?cb1d50410b364ec4c2a4848adbf5eb68/melon/resize/282/quality/80/optimize,2021.05.14,이무진,신호등
